Device,Impressions,Clicks,Ctr,AvgCpc,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
DESKTOP,28033,251,0.90,4.31,1081.04,211,1,0.40,1081.04
SMART_TV,232,3,1.29,1.32,3.95,3,0,--,--
