Device,Impressions,Clicks,Ctr,AvgCpc,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
DESKTOP,23462,115,0.49,2.90,333.09,82,0,--,--
SMART_TV,223,2,0.90,1.36,2.72,2,0,--,--
