Device,Impressions,Clicks,Ctr,AvgCpc,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
DESKTOP,28266,269,0.95,4.37,1176.79,226,1,0.37,1176.79
SMART_TV,232,3,1.29,1.32,3.95,3,0,--,--
