AdId,AdGroupId,Impressions,Clicks,Ctr,AvgCpc,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
17556579200,5704738217,2786,106,3.80,5.44,576.53,91,1,0.94,576.53
17556257664,5704738217,9359,44,0.47,3.16,139.26,40,0,--,--
17556257662,5704738217,9158,45,0.49,2.81,126.34,34,0,--,--
17556257661,5704738217,2522,24,0.95,4.12,98.98,22,0,--,--
17556578902,5704738217,410,9,2.20,7.41,66.69,6,0,--,--
17556579393,5704738217,3713,23,0.62,2.70,62.12,19,0,--,--
17556579047,5704738217,249,3,1.20,5.02,15.06,2,0,--,--
17556579399,5704738217,68,0,0.00,--,0.00,0,0,--,--
