Criterion,CriteriaType,Impressions,Clicks,Ctr,AvgCpc,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
---autotargeting,AUTOTARGETING,28349,262,0.92,4.28,1120.15,221,1,0.38,1120.15
gpt-5,KEYWORD,42,6,14.29,5.15,30.92,4,0,--,--
claude ai,KEYWORD,72,2,2.78,7.95,15.90,2,0,--,--
нейросеть для разработчика,KEYWORD,30,2,6.67,6.89,13.77,2,0,--,--
ai linux,KEYWORD,3,0,0.00,--,0.00,0,0,--,--
ai помощник программиста,KEYWORD,1,0,0.00,--,0.00,0,0,--,--
ai терминал,KEYWORD,2,0,0.00,--,0.00,0,0,--,--
