Device,Impressions,Clicks,Ctr,AvgCpc,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
DESKTOP,23191,113,0.49,2.92,330.40,80,0,--,--
SMART_TV,223,2,0.90,1.36,2.72,2,0,--,--
