Device,Impressions,Clicks,Ctr,AvgCpc,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
DESKTOP,23050,112,0.49,2.93,327.85,80,0,--,--
SMART_TV,222,2,0.90,1.36,2.72,2,0,--,--
