AdId,AdGroupId,Impressions,Clicks,Ctr,AvgCpc,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
17556579200,5704738217,2976,118,3.97,5.43,641.30,102,1,0.85,641.30
17556257664,5704738217,9370,46,0.49,3.28,150.74,40,0,--,--
17556257662,5704738217,9166,45,0.49,2.81,126.34,34,0,--,--
17556257661,5704738217,2524,24,0.95,4.12,98.98,22,0,--,--
17556579393,5704738217,3719,26,0.70,2.86,74.24,20,0,--,--
17556578902,5704738217,415,9,2.17,7.41,66.69,8,0,--,--
17556579047,5704738217,261,4,1.53,5.61,22.45,3,0,--,--
17556579399,5704738217,69,0,0.00,--,0.00,0,0,--,--
