LocationOfPresenceName,Impressions,Clicks,Ctr,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
Новосибирск,303,7,2.31,40.74,8,0,--,--
Саратов,160,6,3.75,28.99,6,0,--,--
Москва,233,6,2.58,27.02,6,0,--,--
Сыктывкар,122,4,3.28,22.32,3,0,--,--
Волгоград,146,3,2.05,20.40,3,0,--,--
Санкт-Петербург,103,4,3.88,20.22,4,0,--,--
Нижний Новгород,184,3,1.63,17.30,2,0,--,--
Барнаул,207,3,1.45,16.32,3,0,--,--
Оренбург,228,5,2.19,16.07,4,0,--,--
Владимир,143,4,2.80,15.13,2,0,--,--
Тула,67,3,4.48,15.10,3,0,--,--
Тюмень,267,5,1.87,14.76,5,0,--,--
Ангарск,58,2,3.45,13.46,0,0,--,--
Ульяновск,170,3,1.76,13.34,2,0,--,--
Ижевск,249,3,1.20,12.96,1,0,--,--
Кемерово,278,3,1.08,12.93,3,0,--,--
Стерлитамак,16,2,12.50,12.53,2,0,--,--
Воронеж,97,4,4.12,12.45,4,0,--,--
Саянск,65,2,3.08,12.15,1,0,--,--
Берёзовский (Кемеровская область),31,1,3.23,11.70,1,0,--,--
Полысаево,29,1,3.45,11.48,1,0,--,--
Пермь,183,3,1.64,11.36,3,0,--,--
Краснодар,179,4,2.23,11.26,2,0,--,--
Ярославль,31,2,6.45,11.17,2,1,50.00,11.17
Тольятти,97,3,3.09,10.92,3,0,--,--
Сергиевск,2,1,50.00,10.30,1,0,--,--
Якутск,112,2,1.79,10.19,2,0,--,--
Таганрог,48,2,4.17,10.12,2,0,--,--
Смоленск,41,2,4.88,10.11,2,0,--,--
Коломна,2,1,50.00,9.98,1,0,--,--
Архангельск,89,1,1.12,9.94,1,0,--,--
Кумертау,12,1,8.33,9.83,1,0,--,--
Северодвинск,41,2,4.88,9.78,1,0,--,--
Большое Нагаткино,3,1,33.33,9.66,1,0,--,--
Рязань,43,2,4.65,9.58,2,0,--,--
Москва и область,5,1,20.00,9.58,1,0,--,--
Подгорновское сельское поселение,2,1,50.00,9.37,1,0,--,--
Кострома,64,2,3.12,8.93,2,0,--,--
Ставрополь,235,4,1.70,8.90,2,0,--,--
Саранск,77,3,3.90,8.86,3,0,--,--
Владивосток,89,2,2.25,8.84,1,0,--,--
